['447', '238', '779', '743', '615', '508', '900', '328', '637', '399', '864', '357', '228', '414', '363', '338', '729', '524', '185', '517', '929', '886', '30', '274', '234']
['11', '925', '10', '927', '776', '67', '4', '300', '843', '541', '395', '549', '662', '219', '432', '528', '833', '322', '995', '464', '275', '858', '345', '543', '352']
['211', '537', '841', '16', '983', '125', '901', '323', '329', '838', '908', '735', '176', '585', '697', '781', '533', '817', '110', '847', '551', '739', '270', '418', '869']
['859', '688', '122', '899', '695', '767', '53', '605', '982', '282', '43', '27', '956', '143', '62', '350', '790', '444', '649', '997', '429', '713', '250', '138', '896']
['280', '948', '638', '389', '577', '179', '367', '888', '607', '522', '259', '949', '417', '860', '548', '78', '626', '894', '226', '302', '81', '911', '934', '593', '604']
['990', '913', '801', '972', '189', '631', '166', '94', '931', '237', '38', '732', '116', '52', '783', '475', '509', '214', '478', '902', '581', '529', '225', '452', '544']
['613', '795', '61', '993', '932', '711', '278', '319', '379', '220', '766', '826', '333', '502', '616', '808', '821', '921', '183', '332', '761', '875', '498', '368', '741']
['261', '947', '209', '191', '127', '195', '112', '252', '242', '850', '152', '427', '154', '349', '394', '480', '873', '403', '2', '496', '906', '101', '969', '377', '37']
['466', '428', '706', '904', '165', '223', '153', '114', '343', '169', '656', '362', '309', '698', '86', '715', '576', '514', '792', '660', '434', '825', '839', '186', '753']
['216', '800', '59', '719', '723', '696', '834', '618', '941', '424', '291', '670', '992', '471', '606', '530', '677', '44', '774', '824', '634', '293', '988', '161', '976']
['182', '258', '991', '510', '846', '857', '653', '903', '984', '158', '561', '799', '420', '90', '236', '953', '499', '814', '229', '66', '123', '763', '793', '978', '355']
['304', '121', '194', '108', '85', '895', '645', '536', '26', '168', '740', '963', '286', '0', '974', '877', '578', '487', '627', '861', '915', '870', '746', '639', '320']
['106', '950', '694', '690', '880', '425', '80', '619', '224', '573', '611', '8', '196', '346', '600', '245', '836', '587', '910', '187', '599', '442', '299', '29', '337']
['162', '104', '324', '277', '257', '818', '369', '470', '809', '820', '565', '755', '734', '438', '105', '745', '440', '642', '215', '203', '256', '405', '392', '378', '218']
['663', '341', '410', '965', '512', '675', '744', '526', '939', '777', '667', '243', '136', '483', '912', '5', '246', '542', '789', '797', '124', '632', '19', '490', '784']
['135', '665', '788', '217', '65', '339', '198', '407', '79', '423', '12', '184', '330', '479', '796', '91', '437', '802', '671', '87', '557', '933', '657', '768', '400']
['994', '497', '643', '142', '985', '140', '914', '823', '648', '845', '96', '57', '133', '312', '594', '458', '174', '588', '207', '95', '655', '273', '523', '489', '680']
['553', '580', '361', '436', '276', '898', '248', '624', '837', '449', '486', '550', '284', '849', '547', '146', '635', '288', '574', '733', '596', '608', '822', '610', '494']
['326', '474', '762', '181', '556', '32', '419', '318', '56', '757', '693', '17', '9', '669', '111', '785', '22', '213', '692', '373', '222', '244', '171', '712', '58']
['25', '525', '506', '201', '77', '54', '42', '916', '853', '863', '501', '554', '851', '314', '749', '160', '579', '205', '290', '878', '177', '157', '75', '791', '722']
