['751', '930', '791', '22', '552', '578', '811']
['532', '516', '921', '144', '535', '508', '325']
['494', '945', '221', '834', '824', '580', '692']
['704', '727', '712', '672', '609', '346', '299']
['590', '146', '776', '178', '286', '216', '627']
['931', '796', '969', '8', '18', '724', '103']
['214', '936', '943', '908', '944', '554', '889']
['967', '553', '599', '958', '211', '959', '439']
['165', '702', '923', '294', '481']
['478', '345', '26', '777', '658', '741', '442']
['733', '410', '74', '533', '60', '202', '324']
['488', '883', '574', '475', '302', '209', '763']
['262', '664', '556', '600', '618', '847', '326']
['517', '612', '810', '957']
['835', '167', '228', '823', '803', '545', '451']
['190', '660', '90', '160', '88', '970', '413']
['461', '156', '238', '846', '569', '380', '231']
['652', '130', '471', '514', '377', '536', '591']
['291', '96', '51', '489', '127', '821', '126']
['40', '390', '411', '528', '802', '918']
['239', '224', '572', '747', '752', '903', '129']
['55', '474', '274', '562', '473', '172', '161']
['364', '756', '866', '900', '557', '139']
['353', '484', '884', '249', '433']
['657', '610', '722', '123', '470', '785', '482']
['67', '235', '328']
['166', '367', '738', '393', '41', '844', '771']
['333', '272', '38']
['677', '341', '193', '711', '388', '720', '157']
['549', '819', '48']
['75', '655', '317', '779', '431', '445', '448']
['342', '57', '512', '950', '391', '32', '275']
['654', '455']
['70', '585', '301', '760', '548', '708', '394']
['378', '620', '894', '308', '319', '141']
['58', '932', '246', '307', '955', '412']
['881', '668', '486', '39', '419', '310', '530']
