['993', '813', '606', '372', '258', '961', '320', '873', '200', '43', '877', '864', '520', '440', '676', '765', '830', '699', '594', '490']
['288', '235', '33', '261', '510', '285', '886', '707', '348', '881', '515', '293', '920', '253', '671', '291', '53', '84', '567', '14']
['184', '933', '309', '171', '132', '28', '30', '545', '650', '345', '824', '196', '89', '814', '95', '850', '149', '590', '9', '868']
['498', '825', '360', '120', '56', '403', '657', '931', '867', '193', '644', '513', '818', '995', '715', '287', '29', '471', '468', '139']
['130', '966', '32', '943', '529', '445', '505', '126', '92', '97', '935', '582', '385', '229', '725', '698', '68', '722', '638', '179']
['35', '48', '962', '138', '509', '887', '119', '754', '5', '801', '998', '190', '109', '828', '284', '658', '848', '853', '649', '593']
['994', '724', '544', '308', '656', '639', '555', '492', '417', '716', '294', '135', '251', '99', '298', '689', '570', '928', '255', '740']
['592', '153', '486', '358', '368', '898', '862', '981', '65', '949', '806', '893', '803', '36', '624', '457', '752', '199', '399', '451']
['772', '654', '0', '123', '872', '70', '376', '156', '62', '256', '865', '23', '419', '876', '485', '323', '587', '185', '602', '313']
['735', '210', '614', '349', '973', '226', '359', '352', '999', '615', '183', '69', '147', '443', '702', '37', '989', '980', '672', '277']
['982', '489', '472', '480', '970', '13', '969', '846', '166', '262', '812', '418', '281', '205', '770', '503', '371', '103', '741', '16']
['997', '700', '979', '869', '688', '266', '673', '415', '586', '543', '566', '80', '655', '646', '161', '7', '731', '932', '400', '252']
['244', '108', '760', '704', '627', '976', '416', '907', '884', '640', '115', '974', '612', '393', '861', '730', '176', '82', '738', '72']
['224', '972', '780', '918', '450', '57', '177', '117', '714', '188', '827', '212', '401', '217', '901', '696', '427', '546', '104', '578']
['560', '914', '518', '822', '847', '903', '748', '499', '476', '642', '986', '207', '364', '643', '11', '142', '370', '960', '362', '31']
['382', '495', '930', '808', '198', '858', '924', '195', '946', '389', '289', '837', '527', '168', '968', '987', '236', '327', '516', '75']
['270', '603', '496', '840', '192', '269', '598', '953', '747', '675', '764', '77', '148', '175', '325', '3', '249', '271', '321', '604']
['344', '891', '213', '855', '180', '141', '832', '268', '247', '596', '758', '59', '140', '807', '684', '446', '833', '201', '648', '607']
['663', '937', '950', '983', '463', '336', '660', '76', '585', '927', '275', '208', '94', '378', '678', '206', '15', '763', '150', '460']
['771', '620', '250', '708', '211', '116', '534', '839', '899', '380', '435', '617', '632', '871', '890', '551', '79', '634', '842', '34']
['315', '146', '849', '971', '571', '875', '121', '245', '259', '895', '815', '794', '331', '613', '921', '18', '438', '39', '318', '810']
['701', '789', '297', '942', '431', '112', '137', '464', '367', '406', '744', '233', '87', '51', '809', '601', '300', '799', '25', '162']
['144', '589', '577', '910', '299', '202', '439', '926', '734', '316', '136', '562', '628', '434', '100', '429', '637', '412', '633', '508']
