['389', '229', '985', '706', '663', '276', '28', '102', '724', '298', '545', '885', '130', '599', '370', '485', '456', '237', '865', '899', '311', '571', '616', '172', '605', '792', '368', '183', '544', '156', '791', '509', '115', '188', '221', '18', '465', '603', '12', '958']
['423', '475', '808', '994', '143', '493', '176', '951', '596', '158', '462', '270', '395', '619', '331', '757', '755', '875', '874', '49', '81', '256', '168', '760', '515', '644', '468', '77', '51', '57', '262', '574', '859', '570', '353', '771', '887', '965', '561', '129']
['511', '196', '855', '861', '48', '429', '315', '424', '789', '241', '497', '191', '110', '425', '836', '577', '413', '587', '303', '108', '104', '5', '843', '710', '964', '150', '90', '490', '934', '735', '447', '246', '975', '923', '540', '871', '780', '91', '487', '854']
['701', '895', '419', '979', '590', '989', '971', '344', '400', '155', '890', '379', '93', '380', '909', '860', '954', '749', '756', '210', '645', '440', '892', '633', '178', '919', '856', '197', '614', '274', '986', '696', '68', '602', '420', '442', '897', '259', '798', '430']
['201', '579', '327', '822', '725', '581', '145', '623', '740', '258', '688', '15', '42', '307', '657', '775', '149', '821', '318', '135', '805', '611', '837', '582', '56', '41', '654', '496', '770', '941', '685', '198', '225', '292', '250', '148', '453', '16', '949', '933']
['894', '903', '209', '736', '287', '721', '182', '716', '815', '75', '982', '385', '403', '518', '189', '179', '729', '310', '336', '272', '167', '220', '785', '745', '807', '547', '983', '200', '124', '243', '32', '968', '797', '692', '415', '707', '995', '212', '253', '939']
['917', '656', '634', '531', '606', '181', '187', '521', '316', '275', '717', '467', '727', '321', '217', '260', '244', '660', '889', '796', '89', '639', '670', '845', '643', '731', '556', '6', '658', '10', '738', '768', '537', '401', '482', '924', '750', '255', '67', '330']
['97', '478', '142', '22', '409', '773', '65', '216', '324', '888', '444', '829', '302', '936', '542', '925', '784', '291', '238', '109', '64', '560', '646', '254', '306', '625', '360', '136', '264', '980', '747', '162', '33', '825', '285', '864', '398', '13', '866', '157']
['847', '631', '418', '617', '29', '900', '532', '345', '79', '369', '265', '267', '386', '911', '524', '734', '950', '751', '308', '476', '146', '795', '876', '653', '844', '128', '781', '504', '993', '580', '967', '831', '431', '227', '106', '410', '214', '505', '632', '783']
['800', '766', '434', '226', '984', '427', '712', '774', '907', '922', '299', '390', '371', '58', '261', '987', '661', '588', '491', '512', '624', '495', '879', '113', '52', '913', '60', '680', '481', '402', '739', '134', '642', '437', '450', '996', '337', '473', '799', '868']
['377', '921', '705', '361', '118', '839', '858', '691', '213', '69', '873', '973', '961', '417', '790', '536', '898', '567', '746', '4', '273', '397', '779', '166', '627', '824', '695', '503', '649', '195', '449', '1', '604', '684', '271', '912', '881', '305', '312', '177']
