['367', '632', '696', '454', '903', '137', '560', '886', '285', '639', '329', '573', '10', '464', '854', '478', '223', '405', '294', '510']
['269', '846', '178', '15', '574', '425', '463', '192', '927', '999', '893', '336', '924', '600', '969', '196', '166', '275', '824', '949']
['922', '199', '28', '659', '106', '265', '797', '412', '5', '733', '51', '792', '284', '408', '616', '823', '536', '919', '908', '172']
['507', '514', '501', '620', '972', '737', '76', '780', '250', '818', '290', '24', '74', '55', '708', '561', '246', '995', '12', '585']
['939', '323', '312', '487', '434', '2', '356', '339', '150', '887', '220', '75', '516', '248', '628', '984', '350', '917', '599', '509']
['422', '58', '120', '66', '44', '883', '960', '119', '134', '996', '135', '111', '125', '581', '670', '53', '429', '888', '653', '361']
['351', '102', '736', '809', '477', '117', '78', '800', '593', '420', '243', '300', '756', '819', '517', '866', '447', '701', '313', '618']
['90', '879', '545', '381', '345', '692', '722', '309', '638', '126', '650', '945', '933', '768', '787', '505', '272', '373', '613', '183']
['359', '963', '973', '584', '205', '843', '777', '226', '607', '224', '281', '176', '839', '50', '52', '899', '755', '70', '822', '304']
['77', '556', '218', '759', '764', '340', '889', '951', '518', '631', '411', '914', '444', '225', '86', '539', '493', '455', '231', '565']
['115', '394', '61', '81', '211', '237', '414', '884', '640', '189', '16', '710', '541', '380', '379', '187', '723', '435', '714', '116']
['727', '184', '288', '330', '667', '445', '552', '686', '378', '257', '807', '208', '152', '140', '890', '529', '614', '793', '773', '396']
['97', '364', '416', '910', '958', '136', '523', '365', '202', '316', '551', '726', '92', '308', '470', '169', '976', '109', '266', '831']
['527', '528', '326', '629', '374', '769', '961', '258', '410', '165', '472', '547', '709', '729', '750', '489', '838', '123', '641', '168']
['17', '557', '400', '538', '185', '277', '154', '64', '937', '950', '569', '428', '983', '239', '353', '69', '938', '151', '798', '806']
