['770', '425', '875', '804', '605', '323', '69', '199', '839', '268', '230', '354', '560', '540', '748', '461', '256', '961', '8', '567', '210', '535', '591', '608', '132']
['426', '64', '613', '70', '899', '334', '389', '840', '315', '783', '706', '102', '891', '467', '700', '445', '303', '139', '834', '625', '908', '851', '857', '787', '627']
['960', '931', '823', '773', '576', '369', '492', '634', '985', '66', '850', '983', '900', '338', '867', '51', '384', '305', '835', '889', '681', '10', '347', '645', '662']
['711', '574', '849', '38', '807', '712', '678', '401', '639', '777', '619', '405', '801', '750', '105', '180', '720', '285', '909', '583', '444', '331', '868', '575', '81']
['106', '980', '270', '318', '343', '976', '438', '808', '794', '806', '58', '756', '990', '977', '622', '669', '328', '892', '648', '972', '289', '482', '455', '860', '23']
['214', '296', '429', '127', '28', '373', '189', '381', '753', '988', '545', '420', '295', '958', '71', '254', '814', '363', '360', '757', '618', '406', '470', '131', '772']
['350', '450', '741', '556', '557', '200', '25', '624', '153', '371', '187', '912', '918', '290', '149', '933', '203', '590', '752', '424', '598', '968', '523', '853', '300']
['541', '518', '596', '609', '126', '766', '90', '468', '962', '197', '86', '971', '22', '310', '208', '253', '784', '974', '150', '471', '689', '707', '325', '293', '981']
['329', '744', '497', '481', '966', '274', '313', '484', '284', '944', '431', '207', '846', '742', '410', '544', '40', '579', '319', '48', '953', '617', '5', '20', '475']
['376', '418', '657', '272', '46', '680', '463', '411', '937', '955', '833', '581', '251', '679', '843', '785', '997', '629', '684', '881', '687', '496', '871', '658', '543']
['905', '34', '385', '673', '549', '594', '704', '348', '33', '137', '103', '521', '377', '803', '219', '146', '116', '636', '236', '769', '73', '1', '705', '640', '894']
['928', '551', '42', '239', '809', '147', '774', '84', '792', '486', '859', '247', '631', '229', '366', '722', '474', '789', '249', '321', '364', '244', '745', '759', '2']
['264', '537', '659', '641', '815', '516', '327', '186', '181', '118', '914', '883', '260', '217', '635', '128', '996', '74', '222', '154', '386', '266', '95', '422', '43']
['473', '121', '666', '185', '448', '852', '456', '682', '212', '177', '375', '611', '943', '847', '194', '158', '566', '992', '816', '751', '6', '837', '767', '3', '923']
['9', '946', '589', '380', '710', '969', '144', '271', '152', '257', '927', '628', '54', '763', '213', '388', '408', '727', '241', '115', '781', '379', '702', '162', '337']
['85', '984', '111', '670', '75', '416', '163', '593', '394', '529', '964', '991', '552', '29', '714', '151', '842', '553', '818', '572', '841', '686', '209', '597', '578']
['67', '291', '302', '734', '93', '79', '580', '226', '299', '145', '788', '726', '61', '935', '101', '926', '812', '114', '910', '550', '255', '530', '500', '870', '392']
['155', '283', '986', '719', '893', '485', '651', '887', '130', '527', '701', '317', '642', '505', '554', '367', '178', '245', '263', '306', '936', '869', '949', '164', '15']
['248', '113', '904', '37', '922', '62', '604', '133', '940', '361', '472', '643', '764', '665', '571', '771', '559', '292', '476', '349', '586', '342', '56', '728', '688']
['786', '297', '573', '398', '854', '273', '193', '856', '897', '301', '172', '542', '490', '709', '845', '826', '824', '109', '696', '345', '453', '307', '901', '19', '96']
