['296', '604', '507', '786', '405']
['768', '822', '578', '130', '587']
['661', '312', '175', '586', '361']
['817', '921', '146', '448', '351']
['777', '150', '144', '724', '636']
['710', '868', '789', '736', '127']
['673', '41', '588', '207', '9']
['193', '804', '621', '917', '508']
['401', '872', '372', '907', '101']
['976', '937', '810', '417', '599']
['382', '718', '859', '902', '290']
['232', '349', '663', '491', '336']
['469', '553', '925', '326', '0']
['483', '941', '318', '416', '122']
['78', '807', '358', '223', '629']
['82', '143', '213', '654', '211']
['589', '432', '496', '217', '911']
['162', '105', '287', '299', '32']
['276', '571', '577', '784', '551']
['929', '100', '776', '339', '559']
['999', '40', '383', '983', '934']
['762', '455', '547', '261', '177']
['75', '637', '19', '515', '568']
['330', '506', '38', '308', '169']
['73', '191', '121', '870', '989']
['44', '435', '17', '613', '540']
['3', '230', '77', '603', '998']
['691', '218', '706', '442', '23']
['533', '988', '96', '823', '960']
['137', '458', '942', '179', '642']
['936', '141', '856', '482', '484']
['355', '348', '987', '761', '486']
['52', '722', '657', '447', '34']
['95', '419', '1', '564', '443']
['6', '216', '938', '65', '685']
['854', '106', '766', '614', '675']
['707', '745', '111', '743', '539']
['549', '883', '819', '728', '174']
['643', '631', '108', '973', '255']
['555', '10', '256', '701', '700']
['27', '454', '850', '572', '271']
['827', '221', '650', '992', '928']
['623', '15', '730', '103', '639']
['2', '926', '346', '335', '311']
['979', '758', '109', '923', '166']
['501', '243', '522', '837', '21']
['812', '474', '981', '135', '811']
['899', '57', '453', '31', '953']
['136', '81', '142', '266', '280']
['971', '159', '499', '462', '86']
