['248', '318', '161', '32', '240']
['770', '6', '692', '625', '363']
['792', '775', '649', '172', '493']
['407', '548', '535', '675', '331']
['599', '998', '810', '373', '200']
['506', '242', '153', '364', '774']
['762', '787', '302', '285', '462']
['43', '797', '17', '65', '795']
['211', '475', '46', '387', '464']
['830', '604', '794', '674', '143']
['15', '547', '970', '348', '990']
['321', '503', '996', '915', '420']
['380', '616', '179', '627', '855']
['495', '189', '727', '785', '620']
['410', '175', '758', '185', '531']
['669', '263', '497', '920', '74']
['489', '38', '219', '722', '418']
['142', '271', '735', '393', '558']
['362', '320', '543', '118', '1']
['977', '912', '545', '224', '359']
['723', '677', '289', '950', '231']
['849', '982', '936', '487', '147']
['463', '186', '937', '164', '582']
['767', '893', '220', '408', '192']
['518', '442', '789', '964', '439']
['886', '724', '390', '838', '647']
['623', '960', '974', '290', '203']
['26', '350', '985', '686', '157']
['286', '245', '72', '56', '133']
['930', '319', '888', '313', '454']
['273', '294', '753', '198', '807']
['491', '938', '396', '276', '458']
['519', '868', '644', '457', '570']
['622', '726', '617', '399', '343']
['247', '584', '921', '969', '449']
['260', '594', '214', '784', '188']
['82', '846', '9', '445', '857']
['413', '233', '450', '266', '781']
['811', '173', '999', '563', '679']
['542', '595', '870', '182', '734']
['530', '743', '760', '322', '406']
['786', '580', '840', '137', '765']
['821', '329', '132', '656', '610']
['841', '667', '917', '718', '853']
['176', '903', '782', '567', '865']
