['511', '557', '811', '229', '81', '897', '214', '217', '457', '63', '859', '836', '107', '582', '634', '207', '724', '4', '522', '608']
['364', '675', '927', '941', '877', '174', '885', '363', '386', '355', '47', '381', '959', '387', '797', '663', '274', '706', '658', '431']
['779', '263', '105', '926', '768', '785', '60', '862', '772', '228', '630', '533', '899', '976', '870', '796', '452', '729', '519', '559']
['760', '960', '509', '846', '527', '146', '94', '144', '786', '552', '51', '600', '931', '632', '538', '411', '854', '140', '555', '765']
['78', '574', '128', '270', '302', '711', '337', '639', '588', '525', '762', '564', '340', '245', '554', '132', '79', '497', '224', '374']
['308', '335', '875', '114', '276', '771', '404', '678', '139', '591', '141', '998', '604', '860', '271', '220', '116', '154', '991', '59']
['64', '1', '532', '898', '717', '489', '943', '85', '616', '284', '380', '805', '740', '249', '812', '829', '155', '964', '482', '676']
['261', '430', '124', '101', '598', '301', '449', '190', '56', '864', '645', '963', '390', '98', '173', '384', '674', '876', '537', '883']
['407', '314', '602', '878', '503', '888', '52', '426', '637', '388', '61', '510', '715', '152', '918', '908', '535', '982', '993', '792']
['996', '730', '742', '529', '409', '389', '12', '164', '661', '208', '423', '902', '739', '579', '282', '420', '822', '973', '891', '581']
['125', '718', '277', '939', '212', '543', '873', '293', '686', '942', '478', '838', '886', '451', '833', '267', '29', '755', '454', '183']
['396', '999', '445', '856', '202', '159', '662', '722', '147', '285', '57', '151', '184', '635', '828', '683', '268', '868', '594', '738']
['429', '935', '882', '327', '545', '266', '77', '758', '400', '820', '310', '586', '587', '442', '313', '219', '373', '673', '450', '852']
['944', '544', '869', '689', '399', '346', '93', '392', '915', '145', '394', '11', '900', '597', '412', '206', '91', '348', '160', '182']
['198', '573', '149', '45', '376', '92', '763', '737', '847', '84', '162', '476', '226', '702', '479', '881', '397', '456', '542', '278']
['192', '617', '549', '837', '466', '825', '44', '252', '970', '120', '807', '553', '236', '681', '612', '665', '231', '693', '250', '170']
['919', '43', '255', '246', '654', '653', '905', '453', '106', '703', '835', '757', '979', '367', '629', '625', '802', '790', '458', '333']
['448', '469', '595', '362', '108', '5', '309', '806', '932', '972', '26', '732', '275', '726', '432', '238', '842', '444', '909', '262']
['560', '97', '974', '251', '541', '321', '546', '299', '371', '110', '801', '599', '731', '514', '115', '172', '486', '357', '810', '353']
['142', '3', '15', '102', '502', '911', '37', '526', '971', '439', '247', '794', '530', '464', '72', '470', '631', '434', '137', '166']
['480', '203', '576', '358', '764', '518', '813', '523', '652', '569', '754', '185', '713', '745', '416', '720', '294', '370', '923', '395']
['319', '978', '580', '14', '506', '747', '849', '504', '462', '218', '232', '866', '575', '756', '347', '483', '117', '961', '150', '253']
['281', '225', '994', '13', '621', '296', '921', '584', '928', '736', '368', '528', '58', '391', '607', '326', '565', '850', '782', '69']
['774', '708', '323', '610', '934', '24', '215', '438', '948', '550', '169', '710', '99', '205', '743', '775', '82', '871', '664', '375']
['940', '23', '735', '49', '259', '75', '513', '916', '761', '938', '988', '39', '87', '622', '191', '446', '744', '611', '741', '168']
['618', '583', '62', '615', '156', '41', '990', '623', '540', '547', '770', '16', '472', '243', '331', '123', '383', '844', '401', '685']
['473', '845', '867', '515', '945', '656', '273', '223', '324', '669', '858', '696', '901', '746', '83', '210', '127', '474', '981', '67']
['440', '520', '356', '834', '21', '903', '143', '113', '577', '968', '495', '488', '7', '194', '728', '443', '857', '793', '312', '780']
['733', '33', '157', '50', '303', '111', '118', '861', '485', '351', '947', '688', '642', '804', '766', '984', '507', '987', '2', '490']
['680', '650', '848', '28', '816', '328', '707', '200', '821', '910', '361', '71', '784', '248', '100', '289', '727', '667', '920', '382']
