['189', '159', '544', '382', '519', '43', '229']
['523', '562', '274', '473', '172', '474', '277']
['25', '485', '269', '427', '768', '33', '64']
['268', '710', '248', '407', '145', '923', '949']
['649', '76', '140', '143', '942', '573', '206']
['943', '817', '533', '60', '202', '82']
['416', '780', '110', '644', '430', '525', '502']
['881', '625', '321', '223', '743', '765', '395']
['39', '587', '134', '360', '684', '450', '212']
['627', '836', '125', '254', '615', '101', '255']
['224', '471', '377', '514', '130', '536', '779']
['92', '217', '566', '137', '733', '179', '839']
['718', '568', '146', '286', '766', '333', '106']
['361', '623', '575', '832', '646', '933', '952']
['58', '402', '507', '414', '814', '81', '731']
['826', '692', '236', '232', '115', '946', '571']
['531', '187', '858', '99', '174', '830', '961']
['632', '938', '426', '522', '150', '284', '518']
['376', '609', '712', '704', '727', '624']
['283', '209', '114', '332', '30', '443', '681']
['861', '700', '527', '190', '878', '19', '483']
['261', '529', '135', '734', '515', '971', '94']
['49', '267', '374', '547', '56', '166', '356']
['594', '16', '912', '651', '893', '249', '431']
['964', '936', '908', '944', '554', '889', '659']
['600', '70', '338', '7', '719', '630', '362']
['314', '383', '592', '549', '113', '751', '138']
['643', '0', '449', '689', '622', '786', '447']
['347', '567', '638', '9', '305', '162', '759']
['14', '272', '736', '965', '505', '315', '316']
['161', '124', '891', '927', '181', '660', '90']
['311', '79', '647', '396', '371', '911', '13']
['200', '152', '680', '492', '843', '850', '465']
['877', '288', '415', '2', '920', '809', '595']
['47', '778', '513', '820', '201', '185', '15']
['815', '940', '203', '247', '303', '782', '824']
['438', '539', '36', '93', '91', '459', '335']
['856', '799', '937', '397', '828', '501', '168']
['244', '916', '854', '606', '653', '280', '463']
['634', '956', '538', '509', '551', '71', '676']
['466', '252', '317', '550', '655', '77']
['612', '419', '486', '530', '433', '310', '668']
['24', '873', '730', '917', '40', '795', '329']
['496', '339', '744', '334', '279', '872', '887']
['699', '20', '160', '69', '763', '88', '614']
['188', '662', '722', '610', '482', '785', '123']
['198', '74', '141']
['46', '589', '715', '758', '787', '195', '258']
['548', '343', '553', '221', '580', '504']
['697', '346', '770', '298', '919', '461', '794']
['637', '132', '225', '928', '716', '941', '458']
['441', '829', '503', '192', '636', '264']
['849', '880', '749', '674', '678', '740', '962']
['5', '831', '73', '707', '120', '822', '750']
['424', '806', '767', '273', '841']
['38', '436', '399', '227', '78', '306', '23']
['898', '282', '89', '72', '337', '793', '350']
['679', '386']
['584', '480', '701', '318', '323', '481', '520']
['278', '37', '537']
['619', '406', '905', '45', '703', '913', '852']
['457', '208', '167', '672']
['788', '497', '968', '709', '108', '320', '721']
['61', '122', '11']
